	CH2500	CH2502	CH2522	F1659
PA14_10040	201	233	368	248
PA14_10050	29	0	0	27
PA14_10070	27	0	0	45
PA14_10080	57	0	0	71
PA14_10090	78	1	0	41
PA14_10110	7	0	0	39
PA14_10120	62	0	0	106
PA14_10130	15	47	44	31
PA14_10140,fepG	3	1	5	14
PA14_10160,fepD	1	1	2	17
PA14_10170,fepB	5	5	2	42
PA14_10180,fepC	14	17	15	44
PA14_10190	42	54	111	44
PA14_10200	113	65	39	263
PA14_10210	26	15	12	41
PA14_10220,ygiM	54	35	36	98
PA14_10230,adh	13	30	27	55
PA14_10240,acoC	9	20	18	48
PA14_10250,acoB	12	14	7	77
PA14_10260,acoA	12	13	14	60
PA14_10270,acoX	8	5	1	40
PA14_10280	7	5	0	45
PA14_10290,acoR	107	340	101	104
PA14_10300	8	12	8	41
PA14_10320	43	77	72	71
PA14_10330,ompK	6	8	6	52
PA14_10340,cvaB	18	38	14	172
PA14_10350	14	12	14	118
PA14_10360	20	32	27	72
PA14_10370,choS	18	16	15	114
PA14_10380	5	19	13	20
PA14_10400	16	13	0	53
PA14_10410	14	11	1	62
PA14_10420,tyrS	249	52	57	49
PA14_10440,opdL	14	20	12	116
PA14_10470,bcr	18	16	36	42
PA14_10480	61	65	94	81
PA14_10490	2	3	10	17
PA14_10500,ccoN	148	238	421	705
PA14_10530	102	124	339	362
PA14_10540,fixG	87	58	456	608
PA14_10550,cysI	67	60	244	582
PA14_10560	10	7	46	108
PA14_10570,hpcH	10	5	4	15
PA14_10590,hpcG	18	7	14	63
PA14_10600,hpaX	15	20	25	138
PA14_10610,hpcD	15	13	25	48
PA14_10620,hpcB	40	39	54	82
PA14_10630,hpcC	36	30	37	135
PA14_10640,hpaG2	29	13	22	88
PA14_10650,hpaG1	12	19	19	66
PA14_10660,hpaA	14	9	27	41
PA14_10670,aph	32	25	58	34
PA14_10680	38	46	77	52
PA14_10700	123	202	169	615
PA14_10710	44	63	79	124
PA14_10730	312	363	353	505
PA14_10740	50	102	79	82
PA14_10750,sotB	20	32	40	93
PA14_10770	48	457	180	512
PA14_10780	31	50	49	44
PA14_10790,ampC	46	64	237	137
PA14_10800,ampR	69	63	94	83
PA14_10820	44	115	89	138
PA14_10830	79	0	0	129
PA14_10840	33	0	0	31
PA14_10850	7	5	6	60
PA14_10870	11	11	4	73
PA14_10890	3	7	2	23
PA14_10900,ydjL	0	3	2	20
PA14_10910,phlE	12	5	3	44
PA14_10920,dad	4	6	3	33
PA14_10940	65	65	89	85
PA14_10950	7	9	11	14
PA14_10960	25	47	0	3
PA14_10970	14	13	1	1
PA14_10980	31	45	0	0
PA14_10990,hpaC	9	6	3	16
PA14_11000,hpaA	19	28	29	149
PA14_11010	32	51	51	45
PA14_11020,fabG	0	3	5	26
PA14_11030	2	5	4	36
PA14_11050,moaF	6	4	5	32
PA14_11060,cupB1	9	35	29	66
PA14_11070,cupB2	13	12	2	72
PA14_11080,cupB3	9	13	7	104
PA14_11090,cupB4	1	6	6	62
PA14_11100,cupB5	70	74	41	320
PA14_11110,cupB6	11	14	11	68
PA14_11120,rcsB	7	14	11	87
PA14_11130	47	106	180	51
PA14_11140	33	50	36	145
PA14_11150	8	8	6	18
PA14_11160	20	26	31	32
PA14_11170	64	85	126	76
PA14_11180	14	40	45	46
PA14_11190,styD	25	31	34	86
PA14_11210	7	12	8	56
PA14_11230	5	1	0	32
PA14_11240	22	15	36	40
PA14_11250	145	173	245	148
PA14_11260	180	203	231	164
PA14_11270,oprG	506	594	646	524
PA14_11280	71	119	98	93
PA14_11290	39	78	79	87
PA14_11310	8	22	24	37
PA14_11320	54	101	66	130
PA14_11330	28	55	59	59
PA14_11340,trx-1	211	253	421	245
PA14_11350	32	46	133	71
PA14_11370	37	57	122	62
PA14_11380,nrdR	92	101	183	90
PA14_11400,ribD	170	269	320	124
PA14_11410,ribC	154	147	208	185
PA14_11420,ribB	247	260	325	294
PA14_11430,ribH	232	228	330	255
PA14_11450,nusB	101	107	200	124
PA14_11460,thiL	111	90	209	88
PA14_11470,pgpA	83	75	115	103
PA14_11480	63	47	73	82
PA14_11490	85	79	63	97
PA14_11510,ribA	126	132	247	137
PA14_11520	34	25	63	38
PA14_11530	68	65	107	56
PA14_11550,dxs	496	486	730	520
PA14_11560,ispA	108	139	234	133
PA14_11570,xseB	62	48	108	38
PA14_11580	26	65	45	123
PA14_11590	4	6	7	53
PA14_11600	22	31	13	147
PA14_11610	7	7	6	51
PA14_11620	15	14	8	91
PA14_11630	61	79	109	179
PA14_11650	94	127	164	146
PA14_11660,aqpZ	5	19	8	31
PA14_11670	9	21	11	36
PA14_11680	63	110	163	127
PA14_11690,ppa	232	312	327	234
PA14_11700	115	103	195	167
PA14_11720	69	71	162	107
PA14_11730	17	19	19	28
PA14_11740	49	108	100	86
PA14_11750	90	128	174	122
PA14_11760,eutC	116	207	124	137
PA14_11770,eutB	281	327	312	317
PA14_11790	169	194	145	157
PA14_11810	785	701	718	605
PA14_11830	358	469	416	342
PA14_11845,mpl	186	228	351	248
PA14_11860	43	96	95	93
PA14_11880	10	9	24	14
PA14_11890	74	139	126	187
PA14_11900	185	278	313	296
PA14_11910	80	165	130	173
PA14_11920	41	45	72	60
PA14_11930	79	105	128	87
PA14_11940	73	96	129	114
PA14_11960	108	161	229	115
PA14_11970	85	93	147	102
PA14_11980	27	51	38	64
PA14_11990	9	11	12	67
PA14_12010,proA	249	291	429	299
PA14_12020,nadD	153	187	257	177
PA14_12030	88	96	155	99
PA14_12050	107	98	150	109
PA14_12060,pbpA	252	185	372	324
PA14_12070,rodA	225	212	292	306
PA14_12080,sltB1	209	205	329	206
PA14_12090	414	475	582	449
PA14_12100,dacC	493	550	683	554
PA14_12110	88	93	111	91
PA14_12120,lipB	246	281	337	299
PA14_12130,lis	203	259	354	289
PA14_12140	37	83	96	88
PA14_12150	6	20	12	34
PA14_12160	168	195	263	190
PA14_12170	0	1	0	9
PA14_12180	1	3	1	6
PA14_12200,holA	190	204	340	286
PA14_12210	247	302	407	277
PA14_12230,leuS	871	998	1376	973
PA14_12260	14	40	20	57
PA14_12270	39	67	68	45
PA14_12280,lnt	141	176	332	145
PA14_12300	180	254	288	251
PA14_12310	210	252	255	266
PA14_12330	355	421	484	447
PA14_12350,orf2	293	214	473	318
PA14_12360	39	32	90	50
PA14_12370	123	139	177	210
PA14_12390,hemL	213	277	439	328
PA14_12400,thiE	156	167	216	145
PA14_12410,thiD	169	185	381	124
PA14_12420	116	153	198	106
PA14_12430	70	185	145	23
PA14_12440	52	76	45	30
PA14_12450	87	266	166	99
PA14_12470	18	59	30	33
PA14_12490	177	310	250	288
PA14_12530	64	130	110	135
PA14_12540	26	63	91	34
PA14_12550	4	6	12	50
PA14_12560	19	23	35	60
PA14_12570	87	74	94	115
PA14_12590	15	15	13	37
PA14_12610,cepA	33	46	85	65
PA14_12620	65	51	69	100
PA14_12630	224	330	467	283
PA14_12640	15	10	11	13
PA14_12650	45	41	65	56
PA14_12670	100	117	169	151
PA14_12680	5	44	7	55
PA14_12690	68	123	74	62
PA14_12700	42	44	78	76
PA14_12710	29	21	24	153
PA14_12730	23	22	35	31
PA14_12740	37	43	102	54
PA14_12750	28	24	71	44
PA14_12760	188	197	311	185
PA14_12770	64	65	127	82
PA14_12780	113	132	154	191
PA14_12810	55	67	72	176
PA14_12820	73	108	90	271
PA14_12840	43	87	66	115
PA14_12850	58	75	89	96
PA14_12860	82	151	156	139
PA14_12870,tesB	145	191	234	199
PA14_12890	39	52	80	45
PA14_12900	79	77	143	106
PA14_12910	3	2	3	7
PA14_12920	66	16	23	88
PA14_12940	15	2	6	21
PA14_12960	25	7	17	29
PA14_12970,tauD	21	10	12	39
PA14_12980	190	237	356	370
PA14_12990	68	113	112	212
PA14_13000	20	13	12	44
PA14_13010	134	28	57	95
PA14_13030,cioA	83	134	232	304
PA14_13040,cioB	40	83	141	166
PA14_13050	0	3	6	6
PA14_13060	47	44	52	46
PA14_13070	9	8	19	40
PA14_13090	217	325	360	255
PA14_13110	88	374	143	405
PA14_13130	339	868	332	419
PA14_13140	188	489	239	402
PA14_13150	224	543	458	481
PA14_13170	50	95	120	157
PA14_13190	190	514	263	566
PA14_13200	27	0	0	100
PA14_13210	0	0	0	16
PA14_13220	12	0	0	55
PA14_13230,moaC	122	172	173	156
PA14_13240,moaD	17	48	47	26
PA14_13250,moaE	53	84	76	75
PA14_13260,moaB1	30	163	36	55
PA14_13280,moeA1	19	287	23	23
PA14_13290	82	166	392	163
PA14_13300	78	212	396	132
PA14_13320	69	157	231	107
PA14_13330	18	26	39	82
PA14_13340	12	13	15	127
PA14_13350	6	14	7	162
PA14_13360	14	20	27	346
PA14_13370	5	6	6	112
PA14_13380	2	4	3	115
PA14_13390	4	1	5	54
PA14_13410,prfC	280	257	434	381
PA14_13420	83	127	125	155
PA14_13430,fecA	38	273	193	387
PA14_13450,fecR	19	28	8	29
PA14_13460,fecI	30	33	18	32
PA14_13470	72	112	105	100
PA14_13490	10	6	9	39
PA14_13500	76	136	148	144
PA14_13510	80	106	88	134
PA14_13520	31	23	34	87
PA14_13530	17	13	23	138
PA14_13560	19	16	21	61
PA14_13580	104	135	76	382
PA14_13590	69	82	40	239
PA14_13600	52	62	26	276
PA14_13610	34	45	19	143
PA14_13620,nhaP	31	73	131	97
PA14_13630	15	15	20	44
PA14_13650	43	109	117	72
PA14_13660,tpbA	7	5	9	18
PA14_13670	1	19	8	26
PA14_13680	23	63	67	56
PA14_13690	42	110	139	103
PA14_13710	43	99	105	76
PA14_13720	54	67	156	77
PA14_13730,narL	144	190	203	145
PA14_13740,narX	364	395	514	282
PA14_13750,narK1	72	457	73	123
PA14_13770,narK2	103	567	66	126
PA14_13780,narG	965	2033	408	1331
PA14_13800,narH	556	558	180	689
PA14_13810,narJ	186	150	43	224
PA14_13830,narI	312	222	66	357
PA14_13840	274	181	58	220
PA14_13850,moaA	189	86	26	116
PA14_13860	6	8	2	9
PA14_13870	36	6	0	15
PA14_13880	8	0	0	0
PA14_13890	31	0	0	0
PA14_13900	60	0	0	0
PA14_13910	15	0	0	0
PA14_13920	8	0	0	0
PA14_13940	326	226	1	9
PA14_13950	169	2	0	4
PA14_13960	19	0	0	0
PA14_13970	46	1	0	17
PA14_13990	127	186	149	144
PA14_14000	44	48	82	51
PA14_14010	141	151	170	135
PA14_14020	54	59	95	71
PA14_14040,rhl	596	612	925	634
PA14_14060	105	256	141	242
PA14_14080,estB	45	115	206	50
PA14_14100,yhdW	79	205	174	210
PA14_14110,pcs	103	166	155	219
PA14_14130	25	44	48	45
PA14_14140	79	101	128	135
PA14_14150	38	49	88	61
PA14_14160	59	62	116	127
PA14_14170	58	150	170	104
PA14_14200	24	85	56	57
PA14_14210	117	263	398	201
PA14_14220	189	233	408	298
PA14_14230	107	243	229	258
PA14_14250	43	63	60	68
PA14_14270	45	120	86	95
PA14_14280	26	30	44	35
PA14_14290	30	107	54	56
PA14_14300	24	0	0	106
PA14_14310	26	0	0	37
PA14_14320	6	22	6	37
PA14_14330	73	30	31	53
PA14_14340,ybiN	24	77	63	98
PA14_14360	57	137	192	221
PA14_14370	118	122	179	116
PA14_14380	169	173	253	178
PA14_14390	533	593	623	441
PA14_14400	1	1	0	2
PA14_14420	5	18	0	39
PA14_14430	17	40	0	48
PA14_14440,valS	794	808	1302	1052
PA14_14450	53	94	94	97
PA14_14460,holC	82	121	118	129
PA14_14470,pepA	457	564	748	506
PA14_14480	32	68	71	67
PA14_14490	14	36	38	38
PA14_14500,yjgP	222	274	382	238
PA14_14510,yjgQ	116	127	225	144
PA14_14520	20	28	72	46
PA14_14530	19	89	52	126
PA14_14540	59	120	0	0
PA14_14550	141	233	0	2
PA14_14560	9	5	0	0
PA14_14570	12	8	24	15
PA14_14590,queA	138	66	217	110
PA14_14600,tgt	260	195	397	240
PA14_14610,yajC	137	143	213	127
PA14_14630,secD	777	742	1168	713
PA14_14650,secF	202	147	273	191
PA14_14660,ycfJ	144	172	173	265
PA14_14680,suhB	102	78	250	133
PA14_14690	145	129	298	142
PA14_14700,cysE	140	173	240	173
PA14_14710	121	96	222	92
PA14_14730,iscS	554	552	917	624
PA14_14740,iscU	196	195	310	193
PA14_14750,icsA	117	114	223	123
PA14_14770,hscB	183	162	320	175
PA14_14780,hscA	346	210	790	322
PA14_14800,fdx2	136	108	192	114
PA14_14810	25	20	56	25
PA14_14820,ndk	191	170	312	165
PA14_14830	406	352	586	452
PA14_14850,pilF	293	263	373	279
PA14_14860	355	349	526	312
PA14_14880,ispG	376	316	536	394
PA14_14890,hisS	512	371	651	508
PA14_14900	328	278	404	303
PA14_14910	380	348	516	331
PA14_14930,engA	291	336	466	398
PA14_14940,ybdL	127	177	279	138
PA14_14960,yafV	112	187	222	167
PA14_14975	37	103	102	82
PA14_14990,mocA	159	326	243	475
PA14_15000	58	100	158	122
PA14_15020	57	72	102	64
PA14_15030,leuA	530	757	710	771
PA14_15050	39	82	150	55
PA14_15070,oprC	373	685	1145	370
PA14_15080	94	138	360	100
PA14_15090	20	43	25	78
PA14_15100	95	158	183	148
PA14_15110	117	147	163	94
PA14_15120	131	250	234	136
PA14_15130	80	209	179	92
PA14_15140	11	8	11	43
PA14_15150	13	14	25	15
PA14_15160	16	11	33	31
PA14_15180	47	25	47	117
PA14_15190	6	3	5	13
PA14_15200	59	40	77	65
PA14_15210	48	38	61	74
PA14_15230,xseA	80	107	186	72
PA14_15240	25	16	38	36
PA14_15250	8	8	13	32
PA14_15260	6	0	3	38
PA14_15270	4	2	3	37
PA14_15280	10	19	19	77
PA14_15290	129	30	41	82
PA14_15310,guaB	527	537	867	595
PA14_15340,guaA	370	374	688	518
PA14_15350	529	0	2	0
PA14_15360	298	0	0	0
PA14_15370	5	0	0	0
PA14_15380,repA	8	0	0	0
PA14_15400,repC	69	0	0	0
PA14_15410	15	0	0	0
PA14_15420	10	0	0	0
PA14_15430,tnpR	30	0	1	0
PA14_15435	39	0	0	0
PA14_15445,merE	15	0	0	0
PA14_15450,merD	17	0	0	0
PA14_15460,merA	126	20	0	2
PA14_15470,merP	28	3	2	0
PA14_15475,merT	64	12	1	0
PA14_15480,merR	143	57	0	0
PA14_15490	12	0	0	0
PA14_15500,traK	27	0	0	0
PA14_15510,traJ	44	0	0	0
PA14_15520,trbJ	20	0	0	1
PA14_15530,trbK	13	0	0	0
PA14_15540,trbL	66	0	0	0
PA14_15560	62	0	0	0
PA14_15570	124	0	0	2
PA14_15580	1077	2	4	0
PA14_15590	646	0	0	0
PA14_15600	256	0	0	0
PA14_15610	452	0	0	4
PA14_15620	5	0	15	0
PA14_15630	32	0	39	1
PA14_15650	56	0	125	1
PA14_15660	30	0	24	1
PA14_15670,cumA	196	254	330	252
PA14_15680,cumB	55	67	80	103
PA14_15700	37	16	50	81
PA14_15710	22	38	62	23
PA14_15720,yfhD	298	321	375	396
PA14_15740,purL	733	851	1445	1004
PA14_15750	6	5	8	14
PA14_15770	47	49	34	58
PA14_15780	54	50	63	83
PA14_15790	166	267	273	190
PA14_15810,glmS	51	135	78	105
PA14_15820,nagA	80	187	145	137
PA14_15830	53	90	114	112
PA14_15840	117	161	183	159
PA14_15850	73	105	123	116
PA14_15860	169	243	233	256
PA14_15870	118	180	188	158
PA14_15880	21	28	52	41
PA14_15890,purT	111	237	351	265
PA14_15910	39	48	83	46
PA14_15920,yhjE	17	22	14	62
PA14_15930,yfjD	196	187	210	263
PA14_15940	126	128	197	168
PA14_15960,ffh	607	569	918	683
PA14_15970,rpsP	148	123	206	125
PA14_15980,rimM	346	264	427	305
PA14_15990,trmD	521	392	621	450
PA14_16000,rplS	101	58	170	79
PA14_16010	14	7	28	49
PA14_16020	53	218	172	140
PA14_16030	83	171	107	381
PA14_16040,xerD	89	97	145	117
PA14_16050,dsbC	336	328	423	346
PA14_16070,hom	268	225	473	324
PA14_16090,thrC	192	200	355	240
PA14_16100	3	15	16	108
PA14_16110	28	36	22	104
PA14_16130	81	118	145	157
PA14_16140	144	240	299	133
PA14_16150	242	344	447	207
PA14_16160	126	259	346	134
PA14_16180	512	916	1512	580
PA14_16190	403	1015	2141	609
PA14_16200	33	138	198	75
PA14_16210	60	57	125	112
PA14_16220,recJ	108	133	253	152
PA14_16250,lasB	34	36	33	592
PA14_16260	28	270	59	352
PA14_16270	47	118	135	89
PA14_16280	40	25	63	69
PA14_16290	61	30	31	88
PA14_16300	9	8	8	21
PA14_16310	6	7	8	79
PA14_16320,fkbP-1	91	106	146	108
PA14_16330	226	340	612	328
PA14_16340	47	108	115	78
PA14_16350	10	11	12	39
PA14_16360	50	71	63	183
PA14_16370	127	273	230	293
PA14_16380	32	38	46	75
PA14_16390	114	311	104	237
PA14_16410	29	66	23	100
PA14_16430,wspA	299	365	488	450
PA14_16440,wspB	50	68	96	63
PA14_16450,wspC	145	182	278	163
PA14_16460,wspD	110	170	197	208
PA14_16470,wspE	354	323	554	477
PA14_16480,wspF	165	160	272	259
PA14_16500,wspR	195	157	261	271
PA14_16510	399	331	538	393
PA14_16530,lysS	563	456	814	627
PA14_16550	76	141	195	121
PA14_16560	83	171	170	186
PA14_16580	246	392	394	479
PA14_16590	60	111	130	129
PA14_16600	142	205	292	258
PA14_16610	41	74	145	76
PA14_16620	29	30	93	36
PA14_16630	249	318	160	575
PA14_16640	224	258	154	381
PA14_16660,cadA	175	238	211	354
PA14_16670,cadR	52	57	42	72
PA14_16680	1	52	14	83
PA14_16690,ppc	273	434	509	598
PA14_16700,adk	230	254	390	255
PA14_16710,yeaZ	74	59	163	49
PA14_16720	35	69	86	47
PA14_16730	39	54	63	46
PA14_16740	13	27	20	32
PA14_16750	9	19	20	29
PA14_16770	99	134	222	118
PA14_16780	56	69	135	79
PA14_16790	21	42	77	123
PA14_16800	22	47	90	162
PA14_16820	110	197	276	559
PA14_16830	143	148	248	168
PA14_16840	42	84	104	96
PA14_16860,plsB	323	323	521	490
PA14_16870	74	62	157	83
PA14_16880	91	68	137	87
PA14_16890	212	121	268	144
PA14_16910	102	74	182	92
PA14_16920,sufE	14	39	41	38
PA14_16930,csdA	83	148	161	161
PA14_16950,dapD	276	322	451	342
PA14_16960	76	94	165	76
PA14_16970	45	55	80	42
PA14_16980	23	19	32	38
PA14_16990	55	133	112	32
PA14_17000	76	31	32	104
PA14_17010,yjcE	152	251	205	320
PA14_17030,dapC	102	96	174	148
PA14_17040,glnD	357	442	613	690
PA14_17050,map	323	391	527	431
PA14_17060,rpsB	487	346	602	437
PA14_17070,tsf	476	321	634	390
PA14_17080,pyrH	283	230	423	296
PA14_17100,frr	403	381	501	434
PA14_17110,uppS	161	115	245	154
PA14_17120,cdsA	91	67	194	96
PA14_17130,dxr	171	143	259	198
PA14_17140,yaeL	241	259	319	312
PA14_17150	975	1039	1351	992
PA14_17170,ompH	224	206	322	262
PA14_17180,lpxD	349	326	554	369
PA14_17190,fabZ	182	159	301	207
PA14_17210,lpxA	194	211	335	233
PA14_17220,lpxB	171	99	215	186
PA14_17230,rnhB	48	33	51	71
PA14_17250,yaaJ	244	86	363	212
PA14_17260,dnaE	876	923	1405	1024
PA14_17270,accA	195	223	364	229
PA14_17280,mesJ	73	61	134	80
PA14_17290,pyrG	563	609	1007	605
PA14_17310,kdsA	304	352	509	355
PA14_17320,eno	474	483	861	577
PA14_17330	41	37	62	65
PA14_17340,ispD	44	61	142	76
PA14_17350	25	22	38	13
PA14_17370,yedE	112	152	298	165
PA14_17380	73	27	35	71
PA14_17400,adhC	232	339	454	327
PA14_17410	70	155	186	133
PA14_17420,ispF	104	106	200	110
PA14_17440,truD	155	167	299	156
PA14_17450,surE	197	204	329	195
PA14_17460,pcm	268	273	342	298
PA14_17470,nlpD	352	388	437	420
PA14_17480,rpoS	339	613	521	671
PA14_17490,fdxA	73	79	95	88
PA14_17500,mutS	346	378	689	531
PA14_17510	24	93	61	153
PA14_17520,cinA	69	79	130	74
PA14_17530,recA	362	382	514	464
PA14_17540,recX	25	33	40	43
PA14_17550	186	441	437	350
PA14_17570	221	618	553	539
PA14_17580	353	815	972	584
PA14_17590	55	44	71	88
PA14_17600	129	155	211	191
PA14_17610,potD	47	20	48	143
PA14_17620,potC	15	7	22	90
PA14_17630,potB	21	7	28	90
PA14_17640,potA	22	6	28	74
PA14_17650	37	22	76	40
PA14_17660	30	36	72	45
PA14_17670	121	115	258	126
PA14_17675,dgkA	22	21	62	28
PA14_17690	181	355	304	529
PA14_17700,rpmE2	29	57	33	56
PA14_17710,rpmJ	6	13	4	13
PA14_17720	71	105	91	103
PA14_17730	15	22	19	50
PA14_17740,ycjJ	8	7	7	39
PA14_17760,ada	7	31	11	44
PA14_17780	17	27	17	91
PA14_17790	45	32	41	87
PA14_17810	14	16	13	72
PA14_17820	2	5	7	54
PA14_17850,fadB	7	5	6	20
PA14_17860,paaH	11	13	23	65
PA14_17880,paaJ	2	2	3	21
PA14_17890	16	43	21	48
PA14_17900,metR	55	70	109	101
PA14_17910,lipG	7	13	8	25
PA14_17920,glpM	22	17	34	28
PA14_17930,glpD	8	11	23	251
PA14_17940,glpR	113	118	171	151
PA14_17960,glpK	46	71	86	231
PA14_17980,glpF	29	19	18	173
PA14_17990,ybaK	44	20	106	47
PA14_18010,glpK	83	73	186	147
PA14_18020	68	98	63	120
PA14_18040	17	11	9	13
PA14_18050	34	72	78	62
PA14_18060	42	47	76	52
PA14_18070	13	37	34	10
PA14_18080	43	52	84	64
PA14_18090	24	29	52	53
PA14_18100	32	96	108	51
PA14_18110,mmsR	54	80	99	102
PA14_18120,mmsA	69	873	226	333
PA14_18140,mmsB	15	466	88	103
PA14_18150,acsL	69	383	69	177
PA14_18160	234	182	245	178
PA14_18180	107	102	115	118
PA14_18200	46	48	79	40
PA14_18210	19	25	29	33
PA14_18230,fruR	49	81	136	71
PA14_18250,fruI	361	374	505	239
PA14_18260,fruK	99	114	162	77
PA14_18275,fruA	95	124	207	74
PA14_18300	49	77	80	121
PA14_18310	21	49	42	44
PA14_18320	7	10	18	25
PA14_18330,arnT	16	23	29	42
PA14_18340	15	8	11	23
PA14_18350,fmt	63	65	81	129
PA14_18360,prmF	26	42	34	80
PA14_18370,arnB	45	57	61	76
PA14_18380,algA	36	71	54	185
PA14_18410,algF	16	36	32	69
PA14_18430,algJ	14	18	10	75
PA14_18450,algI	22	22	14	113
PA14_18470,algL	14	20	10	84
PA14_18480,algX	15	16	23	137
PA14_18500,algG	16	35	25	183
PA14_18510,algE	11	10	10	112
PA14_18520,algK	10	15	8	71
PA14_18550,alg44	19	7	13	101
PA14_18565,alg8	15	17	4	138
PA14_18580,algD	16	14	16	157
PA14_18590	105	139	216	189
PA14_18600	100	138	228	149
PA14_18610,argF	130	159	283	193
PA14_18620	32	33	49	31
PA14_18630,eprS	17	23	22	444
PA14_18640	28	85	86	191
PA14_18650,ydhD	120	137	190	152
PA14_18660	10	21	57	56
PA14_18670,bfrB	233	335	383	390
PA14_18680,bfd	29	13	11	24
PA14_18690,ahpC	406	420	501	386
PA14_18700,rnt	89	149	218	185
PA14_18710,pyrC	210	293	436	279
PA14_18720,motY	63	141	238	139
PA14_18740,argG	313	452	587	479
PA14_18750,gloA1	108	113	168	139
PA14_18760,mexE	7	6	8	42
PA14_18780,mexF	37	22	36	190
PA14_18790,opmE	4	8	14	39
PA14_18800	6	21	5	41
PA14_18810	10	16	6	117
PA14_18820	16	7	3	91
PA14_18830	15	16	16	89
PA14_18850	23	55	37	157
PA14_18860	21	42	43	81
PA14_18870	32	68	79	36
PA14_18880,nth	179	149	181	205
PA14_18890,rnfE	63	47	96	111
PA14_18900,rnfG	32	22	58	52
PA14_18910,rnfD	40	30	80	73
PA14_18920,rnfC	172	225	370	185
PA14_18930,rnfB	50	41	87	47
PA14_18950,rnfA	29	37	69	55
PA14_18960	18	1	0	118
PA14_18970,pldA	192	0	4	511
PA14_18985	84	149	184	288
PA14_19010	17	59	86	46
PA14_19020	57	197	254	181
PA14_19030	66	168	183	109
PA14_19050,metG	647	710	964	814
PA14_19065,mrp	188	283	387	239
PA14_19090,dcd	139	183	272	203
PA14_19100,rhlA	9	11	16	77
PA14_19110,rhlB	16	22	18	97
PA14_19120,rhlR	62	121	138	421
PA14_19130,rhlI	4	11	7	186
PA14_19140,pheC	44	75	99	148
PA14_19150,yigM	23	14	42	46
PA14_19160,rarD	41	33	73	57
PA14_19170,yafL	144	117	191	200
PA14_19190,sfcA	509	714	811	692
PA14_19205	27	35	53	23
PA14_19210	111	97	154	113
PA14_19230,ybdG	221	206	376	291
PA14_19270	3	6	3	74
PA14_19290,srmB	241	273	440	303
PA14_19310	111	255	247	369
PA14_19320	34	51	65	66
PA14_19330	9	24	14	25
PA14_19340	25	106	69	205
PA14_19350	60	97	79	276
PA14_19360	121	190	136	425
PA14_19370,asnB	138	201	121	487
PA14_19380	48	138	133	72
PA14_19390	29	36	57	10
PA14_19400,mnmC	122	126	390	98
PA14_19410	193	437	399	431
PA14_19430	43	53	71	146
PA14_19450	90	80	230	93
PA14_19470,mqoA	119	118	194	225
PA14_19480	6	33	8	51
PA14_19490,lsfA	294	104	176	173
PA14_19500,ssuA	7	1	1	40
PA14_19510,ssuC	6	4	2	26
PA14_19520,ssuB	1	2	0	27
PA14_19530,ssuE	155	27	52	46
PA14_19540,ssuA	40	3	5	46
PA14_19560,ssuD	53	6	7	54
PA14_19570,ssuC	24	5	7	34
PA14_19580,ssuB	65	18	18	55
PA14_19590,ssuF	14	3	4	20
PA14_19600	58	106	126	63
PA14_19610	186	236	256	213
PA14_19620,folX	94	137	181	125
PA14_19630,folE1	175	245	300	240
PA14_19640,ydgB	80	136	166	93
PA14_19650	0	4	7	14
PA14_19660,mioC	113	134	231	113
PA14_19670	20	30	50	34
PA14_19680	5	24	38	15
PA14_19690	10	17	15	15
PA14_19700	31	71	49	131
PA14_19710	11	28	19	58
PA14_19720	3	1	3	16
PA14_19730	42	105	84	100
PA14_19740	36	61	49	81
PA14_19750	10	16	14	30
PA14_19770	20	54	46	99
PA14_19800	62	88	119	88
PA14_19810	24	69	11	172
PA14_19830	32	76	28	112
PA14_19850	11	50	35	80
PA14_19860	25	72	81	50
PA14_19870,ldh	21	152	48	189
PA14_19900	8	131	21	84
PA14_19910,pdhB	1	103	5	59
PA14_19920	5	118	13	60
PA14_19930	7	9	12	16
PA14_19940	24	26	47	28
PA14_19950	96	92	93	105
PA14_19960	3	4	6	32
PA14_19970	2	4	12	12
PA14_19990	17	20	20	70
PA14_20000	12	11	23	26
PA14_20010,hasR	17	26	14	220
PA14_20020,hasAp	8	12	19	41
PA14_20030,hasD	6	6	8	45
PA14_20040,hasE	3	1	10	34
PA14_20050,hasF	10	7	9	35
PA14_20060	6	20	11	50
PA14_20070	7	14	21	37
PA14_20080	52	105	179	89
PA14_20100	31	68	87	104
PA14_20110	59	105	116	105
PA14_20120	27	71	54	54
PA14_20130,yeiE	62	63	109	86
PA14_20140,fpr	175	270	512	298
PA14_20150,nosL	44	61	144	104
PA14_20170,nosY	75	111	248	138
PA14_20180,nosF	119	188	364	224
PA14_20190,nosD	210	341	610	466
PA14_20200,nosZ	741	995	1564	1148
PA14_20230,nosR	344	386	791	591
PA14_20240	7	1	10	24
PA14_20250	3	2	5	14
PA14_20260	22	17	33	27
PA14_20270,rhlG	4	15	5	35
PA14_20280	3	6	9	25
PA14_20290,algZ	100	133	138	131
PA14_20300,phnC	5	6	2	52
PA14_20320,phnD	12	9	11	90
PA14_20330,phnE	6	2	2	30
PA14_20350,phnF	5	10	2	54
PA14_20360,phnG	3	5	3	23
PA14_20370,phnH	2	1	3	14
PA14_20380,phnI	6	5	4	34
PA14_20390,phnJ	6	7	13	59
PA14_20400,phnK	2	4	3	26
