	CH2500	CH2502	CH2522	F1659
PA14_02300,fabG	20	10	31	56
PA14_02310,atsA	27	23	32	123
PA14_02330,atsC	14	16	16	78
PA14_02340,atsB	18	24	26	57
PA14_02360,atsR	13	5	14	41
PA14_02370	4	32	9	57
PA14_02380	16	18	23	33
PA14_02390	55	18	25	118
PA14_02410	15	20	15	212
PA14_02420,atsK	16	14	17	50
PA14_02435	4	8	10	50
PA14_02450	52	177	160	122
PA14_02460	10	17	22	27
PA14_02470,pntB	23	67	39	121
PA14_02490,tonB2	9	5	15	37
PA14_02500,exbB1	13	5	8	41
PA14_02510,exbD1	8	7	21	61
PA14_02520	63	95	124	75
PA14_02530	108	47	90	53
PA14_02550,mdcA	23	35	39	93
PA14_02560,mdcB	4	18	13	24
PA14_02570,mdcC	4	5	4	2
PA14_02580,mdcD	1	12	12	16
PA14_02590,mdcE	3	12	10	14
PA14_02610,mdcG	4	15	18	19
PA14_02620,mdcH	17	47	37	30
PA14_02630,mdcL	5	7	10	12
PA14_02640,mcdM	10	22	14	27
PA14_02650	46	60	72	106
PA14_02660	36	42	48	101
PA14_02680,aldH	23	19	28	90
PA14_02690	12	11	16	100
PA14_02700	18	20	33	119
PA14_02720	16	19	16	104
PA14_02730	45	51	45	74
PA14_02740	24	20	21	81
PA14_02750	69	89	106	106
PA14_02760,catI	16	27	34	108
PA14_02770,pcaJ	33	57	63	81
PA14_02790,pcaF	23	81	113	54
PA14_02810,pcaT	51	58	38	183
PA14_02830,pcaB	52	139	158	124
PA14_02840,pcaD	67	119	115	167
PA14_02850,pcaC	61	74	73	152
PA14_02870	24	43	62	74
PA14_02890	25	18	16	106
PA14_02900,pcaK	14	18	9	81
PA14_02910	21	28	66	42
PA14_02930	15	13	19	33
PA14_02960	6	11	15	29
PA14_02970	12	14	27	46
PA14_02980	3	11	9	75
PA14_02990	24	17	17	118
PA14_03000	20	28	23	100
PA14_03010	30	45	75	74
PA14_03020,aroE	7	15	18	36
PA14_03030,aroQ2	2	6	12	33
PA14_03040	40	41	80	92
PA14_03050,pobA	24	15	24	91
PA14_03070,pobR	35	29	44	51
PA14_03080	19	26	81	40
PA14_03090	53	116	93	115
PA14_03100	5	8	6	26
PA14_03110	16	14	24	72
PA14_03120	15	27	47	27
PA14_03130	103	156	158	144
PA14_03150	70	104	79	58
PA14_03160	73	163	103	220
PA14_03163	363	2	1	1
PA14_03166	89	0	0	0
PA14_03170	70	29	74	49
PA14_03180	38	37	84	47
PA14_03190	246	320	256	1
PA14_03200	218	351	422	3
PA14_03210	21	82	93	2
PA14_03220	147	401	312	122
PA14_03240,hcpC	34	54	28	92
PA14_03250	286	0	0	2
PA14_03265	194	1	0	0
PA14_03270	499	2	1	3
PA14_03285	161	0	0	0
PA14_03290	205	209	183	228
PA14_03300	187	165	207	340
PA14_03310	92	0	0	0
PA14_03320	112	0	0	1
PA14_03330	72	0	0	1
PA14_03340	87	1	0	0
PA14_03350	240	0	0	1
PA14_03360	152	0	0	0
